怪物ID	地图组	地图号	怪物类型	怪物名称	主要专属	基础分母	人物倍数	有效单杀概率	大陆材料	任务材料	说明
EL-MON-C01-G03-N03	沉没王庭	XX102、XX103、XX104	normal	苔甲骑兵	苔痕护腕	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G03-N04	沉没王庭	XX103、XX104	normal	王庭咒师	王庭秘戒	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G03-N05	沉没王庭	XX103、XX104	normal	深水石像	深水束带	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G03-N06	沉没王庭	XX104	normal	幽灯侍者	幽灯面巾	1800	5	0.002777777777777778	海蚀铁片 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G03-R01	沉没王庭	XX102、XX103	rare	失冠王子	失冠战靴	600	5	0.008333333333333333	潮痕结晶 1/75	失冠徽记 1/100	制式装备随机池沿用现有文件
EL-MON-C01-G03-R02	沉没王庭	XX103、XX104	rare	深渊看守	深渊勋章	600	5	0.008333333333333333	潮痕结晶 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G03-R03	沉没王庭	XX104	rare	王庭裁决官	裁决王盾	600	5	0.008333333333333333	潮痕结晶 1/75		制式装备随机池沿用现有文件
EL-MON-C01-G03-R04	沉没王庭	XX104	rare	沉默女祭司	沉默灵玉	600	5	0.008333333333333333	潮痕结晶 1/75	沉默祷文 1/120	制式装备随机池沿用现有文件
EL-MON-C01-G03-B01	沉没王庭	XX103	boss	溺王亲卫长·萨恩	亲卫王剑	120	5	0.041666666666666664	海蚀铁片 1/30；潮痕结晶 1/20	亲卫长残魂 1/25	制式装备随机池沿用现有文件
EL-MON-C01-G03-B02	沉没王庭	XX104	boss	深潮大祭司·伊莱娜	深潮王铠	120	5	0.041666666666666664	海蚀铁片 1/30；潮痕结晶 1/20	深潮祭冠 1/30	制式装备随机池沿用现有文件
EL-MON-C01-G03-G01	沉没王庭	XX105	gate_boss	沉没之王·奥德里安	沉没王权	50	5	0.1	海蚀铁片 1/10；潮痕结晶 1/10	沉王魂核 1/10	另有潮葬礼剑、无冠王衣1/200随机池；剧情印记由首次击杀/任务脚本固定发放
