功能ID,名称,平台版本,正式服版本,版本漂移,平台状态,常驻性,套件,依赖,标签,变量,当前状态,游戏证据,全部证据,母库路径
xy.native.initial-bag-200,登录初始背包200格（4页+160扩展格）,2.0.0-candidate.1,1.0.0-candidate.1,是,candidate,resident,native-base,,,,已部署待实测,current-server:user-game-accepted-2026-07-26,current-server:user-game-accepted-2026-07-26 | formula:base-40-plus-4-pages-times-40-equals-200 | forbidden:ExtBagOpenItemCount-equals-route | automated:idempotent-install-and-byte-rollback,E:\XuanYuanDevPlatform\packages\candidate\xy.native.initial-bag-200
xy.ops.donate-title,xy.ops.donate-title,,1.0.0-candidate.1,母库缺失,收据记录,未知,,,,,已部署待实测,,,
xy.ops.first-pick,首爆首次拾取系统,1.0.3,1.0.3-candidate.1,是,verified,optional,ops-suite,,@首爆拾取处理 | @首爆成功,S$首爆原始数据 | S$首爆数量 | S$首爆状态 | S$首爆剩余 | S$首爆类型 | N$首爆当前奖励 | N$首爆公告坐标,已部署待实测,game:core-script-validated-20260713 | game:new-server-first-pick-wooden-sword-20260717 | evidence:20260717_xy.ops.first-pick_1.0.3_验收.json,static:manifest-and-payload | static:config-section-contract-20260717 | static:movr-direct-variable-contract-20260717 | game:core-script-validated-20260713 | m2:restart-no-runtime-issues-20260717 | game:new-server-first-pick-wooden-sword-20260717 | rollback:automated-transaction-suite-20260717 | evidence:20260717_xy.ops.first-pick_1.0.3_验收.json,E:\XuanYuanDevPlatform\packages\verified\xy.ops.first-pick
xy.optional.bag.function-service,背包功能服务（掉落信息开关）,1.0.0-candidate.1,1.0.0-candidate.1,否,candidate,optional,utility,xy.optional.recycle.drop-filter,XY_BAG_FUNCTION_SERVICE_PANEL,,已部署待实测,,static:backpack-dbagcustombutton4-is-button-23 | static:current-qfunction-button-23-unoccupied | dependency:drop-filter-public-enable-disable-labels | game:pending-backpack-function-service-click,E:\XuanYuanDevPlatform\packages\candidate\xy.optional.bag.function-service
xy.optional.donate.core,沙城捐献（脚本+命令接口）,2.4.0-candidate.1,2.3.1-candidate.1,是,candidate,optional,ops-single-entry,,XY_DONATE_COMMAND | XY_DONATE_TRIGGER | XY_DONATE_APPLY,N$XY_DONATE_ENABLE | N$XY_DONATE_COST_COUNT | N$XY_DONATE_COST_THRESHOLD | N$XY_DONATE_ADD | N$XY_DONATE_SEAL_LIMIT | N$XY_DONATE_SEALED | N$XY_DONATE_PERSONAL | N$XY_DONATE_GLOBAL | N$XY_DONATE_TOP | N$XY_DONATE_LAST_SUCCESS | S$XY_DONATE_COST_TYPE | S$XY_DONATE_COST_NAME | S$XY_DONATE_TOP_NAME,已部署待实测,static:evidence/20260730_native_lingfu_gamegird.md | game:evidence/20260730_donate_state_file_game_acceptance.md,static:single-script-command-contract | static:evidence/20260730_native_lingfu_gamegird.md | static:evidence/20260815_native_currency_contract.md | game:evidence/20260730_donate_state_file_game_acceptance.md | docs:README_使用说明.md | rollback:required,E:\XuanYuanDevPlatform\packages\candidate\xy.optional.donate.core
xy.optional.equipment-collection,十三大陆图形装备收集图鉴,1.0.0-candidate.10,1.0.0-candidate.10,否,candidate,optional,equipment-collection,,XY_COLLECTION_COMMAND | XY_COLLECTION_MAIN | XY_COLLECTION_REFRESH,N$XY_COL_DONE | N$XY_COL_BATCH_COUNT | S$XY_COL_GROUP_HOVER,已部署待实测,game:basic-single-item-and-reward-passed,specialized-route:equipment-collection | source:src/xydp/equipment_collection.py | workbook:所需材料表格汇总/33_装备收集图鉴.xlsx | interface:接口/33_装备收集图鉴接口.txt | tests:22-targeted-passed | transaction:20260814_211109_ef99a920 | rollback:20260814_211109_ef99a920 | game:basic-single-item-and-reward-passed | pending:continent-hover-and-batch-game-acceptance,E:\XuanYuanDevPlatform\packages\candidate\xy.optional.equipment-collection
xy.optional.equipment-collection.test-reset,xy.optional.equipment-collection.test-reset,,1.0.0-test.1,母库缺失,收据记录,未知,,,,,已废止,,,
xy.optional.item-synthesis,通用装备材料物品合成,1.1.0-candidate.4,1.1.0-candidate.3,是,candidate,optional,item-synthesis,,XY_SYN_PAGE_* | XY_SYN_VIEW_* | XY_SYN_APPLY_*,,已部署待实测,game:base-synthesis-and-output-hover-position-passed,specialized-route:item-synthesis | source:src/xydp/item_synthesis.py | workbook:所需材料表格汇总/34_通用物品合成.xlsx | npc-config:所需材料表格汇总/35_合成NPC与配方分配.txt | interface:接口/34_通用物品合成接口.txt | tests:multi-map-multi-npc-isolation-passed | transaction:idempotent-and-byte-rollback-passed | frozen-cli-package-validation:passed | game:base-synthesis-and-output-hover-position-passed,E:\XuanYuanDevPlatform\packages\candidate\xy.optional.item-synthesis
xy.optional.rage.core,狂暴系统（单一NPC入口，可迁移地图）,3.2.0-candidate.1,3.1.1-candidate.1,是,candidate,optional,ops-single-entry,xy.combat.drop,XY_RAGE_COMMAND,,已部署待实测,static:evidence/20260730_native_lingfu_gamegird.md,static:evidence/20260726_map0_npc_single_source.md | static:evidence/20260726_callable_refresh_label_fix.md | static:evidence/20260730_native_lingfu_gamegird.md | game-validation:required | rollback:required,E:\XuanYuanDevPlatform\packages\candidate\xy.optional.rage.core
xy.optional.recycle.configurable,表格驱动装备自动回收,1.0.0-candidate.6,1.0.0-candidate.6,否,candidate,optional,recycle,,UserCmd31 | XY_RECYCLE_COMMAND | XY_RECYCLE_PANEL_MAIN | XY_RECYCLE_PANEL_APPLY | XY_RECYCLE_SELECTED_APPLY | XY_RECYCLE_AUTO_COMMAND | XY_RECYCLE_AUTO_ENABLE | XY_RECYCLE_AUTO_DISABLE | OnTimer20,N$XY_RecycleBatchBefore | N$XY_RecycleBatchAfter | N$XY_RecycleBatchRemoved | N$XY_RecycleBatchReward | N$XY_RecycleEquipBonus | N$XY_RecycleBatchBonusReward,已部署待实测,game:2026-08-06-candidate.9-three-category-panel-and-batch-recycle-accepted | game:2026-08-09-candidate.6-stale-count-and-empty-bag-fix-accepted,game:2026-08-06-candidate.9-three-category-panel-and-batch-recycle-accepted | static:workbook-schema-and-target-StdItems-validation | static:pipe-and-in-cell-newline-multi-item-expansion-with-exact-validation | static:primary-and-extra-reward-pay-after-one-item-removal | static:unconditional-per-item-count-reset-before-presence-check-prevents-stale-reward | game:2026-08-09-candidate.6-stale-count-and-empty-bag-fix-accepted | static:equipment-workbook-recycle-bonus-recalculated-before-manual-and-auto-reward | static:managed-equipment-recycle-bonus-branches-preserved-on-recycle-config-upgrade | static:three-categories-per-page-and-stable-flag-allocation | transaction:preflight-hash-gate-atomic-install-byte-rollback | game:pending-generated-multi-category-package,E:\XuanYuanDevPlatform\packages\candidate\xy.optional.recycle.configurable
xy.optional.recycle.drop-filter,玄渊掉落信息屏蔽（玩家开关）,1.0.0-candidate.1,1.0.0-candidate.1,否,candidate,optional,recycle,,XY_RECYCLE_DROP_FILTER_COMMAND | XY_RECYCLE_DROP_FILTER_ENABLE | XY_RECYCLE_DROP_FILTER_DISABLE,N$XY_RecycleDropFilterEnabled,已部署待实测,,official-engine:FILTERGLOBALMSG-type-1 | reference:Mirserver11-player-toggle | static:on-off-pair-present | game:pending-isolated-server,E:\XuanYuanDevPlatform\packages\candidate\xy.optional.recycle.drop-filter
xy.optional.storage.bag-entry,随身无限仓库（背包按钮入口）,1.0.0-candidate.1,1.0.0-candidate.1,否,candidate,optional,storage,,,,已部署待实测,,engine-doc:open-storage-view-1-opens-infinite-visual-storage | engine-doc:backpack-reserved-buttons-20-24 | static:current-mir-ui-contains-dbagcustombutton1 | static:current-qfunction-button-20-unoccupied | config:current-big-storage-limit-and-save-count-100 | game:pending-backpack-button-click-and-persistence,E:\XuanYuanDevPlatform\packages\candidate\xy.optional.storage.bag-entry
xy.platform.config-sync.initial-camp,xy.platform.config-sync.initial-camp,,1.0.0,母库缺失,收据记录,未知,,,,,已部署待实测,,,
xy.quest.drifting-islands-souls,第一大陆·漂流群岛魂魄任务,1.0.0-candidate.1,1.0.0-candidate.1,否,candidate,optional,drifting-islands-soul-quests,,,,已部署待实测,,source:evidence/第一大陆_地图魂魄任务.txt | static:evidence/静态预检说明.md | static:evidence/20260806_正式事务与静态回读.md | game-validation:required | rollback:required,E:\XuanYuanDevPlatform\packages\candidate\xy.quest.drifting-islands-souls
xy.ui.attr-overview,玄渊左上五图标：狂暴、按佩戴数复活与三组战斗属性,2.0.6-candidate.1,2.0.4-candidate.1,是,candidate,optional,ui-status,xy.optional.rage.core,XYDP_ShowAttrBuff | XYDP_ClearAttrBuff | XYDP_ATTR_RECALC_LOGIN | XYDP_ATTR_BUTTON_LOGIN | XY_UI_STATUS_REFRESH | XY_UI_STATUS_EQUIP_CHANGED | XY_UI_AFTER_NATIVE_REVIVAL | XY_UI_AFTER_EXTRA_REVIVAL | XY_UI_REVIVE_WINDOW_END | XY_UI_QF_STATUS_REFRESH | XY_UI_QF_EQUIP_REFRESH | XY_UI_QF_AFTER_NATIVE_REVIVAL | XY_UI_QF_AFTER_EXTRA_REVIVAL | XY_UI_QF_REVIVE_WINDOW_END | XY_UI_DRAW_RAGE | XY_UI_DRAW_REVIVE | XY_UI_CHECK_REVIVE_ITEM | XY_UI_CLEAR_ALL | XY_UI_NOOP | ButtonClick89 | ButtonClick90 | ButtonClick91 | ButtonClick92 | ButtonClick93 | CloseClientBuff190 | ClientBuffClick190 | XY_UI_RAGE_PANEL,N$XY_UI_REVIVE_OWNED | N$XY_UI_REVIVE_ELIGIBLE | N$XY_UI_REVIVE_EQUIP_COUNT | N$XY_UI_REVIVE_WINDOW | N$XY_UI_REVIVE_COUNTDOWN | N$XY_UI_PENDING_COMBAT_REFRESH | N$XY_UI_PENDING_KILL_REFRESH | S$XY_UI_REVIVE_ITEM1 | S$XY_UI_REVIVE_ITEM2 | S$XY_UI_REVIVE_ITEM3 | S$XY_UI_REVIVE_ITEM4 | S$XY_UI_REVIVE_ITEM5 | S$XY_UI_REVIVE_ITEM6 | S$XY_UI_REVIVE_ITEM7 | S$XY_UI_REVIVE_ITEM8 | N$XY_UI_A_Value01 | N$XY_UI_A_Value02 | N$XY_UI_A_Value03 | N$XY_UI_A_Value04 | N$XY_UI_B_Value01 | N$XY_UI_B_Value02 | N$XY_UI_B_Value03 | N$XY_UI_B_Value04 | N$XY_UI_C_Value01 | N$XY_UI_C_Value02 | N$XY_UI_C_Value03 | N$XY_UI_C_Value04 | N$XY_UI_A_Value01_BindPoint | N$XY_UI_A_Value01_BindRate | N$XY_UI_A_Value02_BindPoint | N$XY_UI_A_Value02_BindRate | N$XY_UI_A_Value03_BindPoint | N$XY_UI_A_Value03_BindRate | N$XY_UI_A_Value04_BindPoint | N$XY_UI_A_Value04_BindRate | N$XY_UI_B_Value01_BindPoint | N$XY_UI_B_Value01_BindRate | N$XY_UI_B_Value02_BindPoint | N$XY_UI_B_Value02_BindRate | N$XY_UI_B_Value03_BindPoint | N$XY_UI_B_Value03_BindRate | N$XY_UI_C_Value01_BindPoint | N$XY_UI_C_Value01_BindRate | N$XY_UI_C_Value02_BindPoint | N$XY_UI_C_Value02_BindRate | N$XY_UI_C_Value03_BindPoint | N$XY_UI_C_Value03_BindRate | N$XY_UI_C_Value04_BindPoint | N$XY_UI_C_Value04_BindRate,已部署待实测,game-validation-current-server:evidence/20260726_final_attribute_read_contract.md | game-validation-sponsor-title:evidence/20260730_sponsor_title_display_accepted.md,local-official:LFM2-20260707-CHM:SetReborn | local-official:LFM2-20260707-CHM:SetClientBuff | reference:MirServer明月/复活图标.txt | ui-resource:Prguse.wzl-1772-1796 | static-contract:evidence/20260725_shared_revive_contract.md | runtime-fix:evidence/20260725_runtime_bridge_fix.md | game-validation-current-server:evidence/20260726_final_attribute_read_contract.md | game-validation-sponsor-title:evidence/20260730_sponsor_title_display_accepted.md,E:\XuanYuanDevPlatform\packages\candidate\xy.ui.attr-overview
